Game_Id,Title,Release,Series,Genre,Sub-genre,Developer,Publisher,Country,Platform,PEGI,Customizable_main,Protagonist,Protagonist_Non_Male,Relevant_males,Relevant_no_males,Percentage_non_male,Criteria,Director,Total_team,female_team,Team_percentage,Metacritic ,Destructoid,IGN,GameSpot,Avg_Reviews
HLKN,Hollow Knight,02/17/22,,Action-adventure,Metroidvania,Team Cherry,Team Cherry,AUS,Computer,7,Non-Binary,1,1,8,8,50%,TR,M,3,0,0%,8.8,10,9.4,9,9.3
NITW,Night in the Woods,02/17/22,,Adventure,Adventure,Secret Lab,Finji,AUT,Multi,12,No,1,1,3,6,67%,TR,M,7,1,14%,8.4,9.5,8.7,9,8.9
BY2,Bayonetta 2,09/14/22,Bayonetta,Action-adventure,Action-adventure,PlatinumGames,Nintendo,JPN,Wii U,16,No,1,1,8,3,27%,TR,M,12,2,17%,9.1,10,9.5,10,9.7
BRA,Broken Age,01/14/22,,Adventure,Point-and-click adventure,Double Fine Productions,Double Fine Productions,USA,Computer,12,No,2,1,9,7,44%,TR,M,6,1,17%,7.9,9.5,9.5,7,8.5
MGSV,Metal Gear Solid V: The Phantom Pain,09/15/22,Metal Gear,Action,Stealth,Kojima Productions,Konami,JPN,Multi,18,No,1,0,8,2,20%,TR,M,11,0,0%,9.3,9,10,10,9.6
TSWP,The Swapper,05/13/22,,Action,Puzzle-Platform,Facepalm Games,Facepalm Games,FIN,Computer,7,No,1,1,2,4,67%,TR,M,1,0,0%,8.7,10,9.3,8,9
OWB,Owlboy,11/16/22,,Action-adventure,Platform-adventure,D-Pad Studio,D-Pad Studio,NOR,Multi,7,No,1,0,8,0,0%,TR,M,3,0,0%,8.7,10,9.3,9,9.3
DS2,Dark Souls 2,03/14/22,Dark Souls,RPG,Action RPG,FromSoftware,Bandai Namco Games,JPN,Multi,16,Yes,1,1,2,3,60%,TR,M,7,0,0%,9.1,,9,9,9
TBOIR,The Binding of Isaac: Rebirth,11/14/22,,RPG,Roguelike,Nicalis,Nicalis,USA,Multi,16,No,1,0,7,4,36%,TR,M,3,0,0%,8.4,10,9,8,8.9
COL,Child of Light,04/14/22,,Action,Platform RPG,Ubisoft Montreal,Ubisoft,CAN,Multi,7,No,1,1,6,7,54%,TR,M,7,3,43%,8.2,8.5,9.3,8,8.5
FLR,Florence,02/18/22,,Interactive Story,Interactive Story,Mountains,Annapurna Interactive,USA,Mobile,3,No,1,1,1,1,50%,TR,M,2,0,0%,8.7,8,9.6,,8.8
MSMMM,Marvel's Spider-Man: Miles Morales,11/20/22,Marvel's Spider-Man,Action-adventure,Action-adventure,Insomniac Games,Sony Interactive Entertaiment,USA,PS4,16,No,1,0,7,5,42%,TR,M,8,1,13%,8.5,9,9,7,8.4
KBOS,Kena: Bridge of Spirits,09/21/22,,Action-adventure,Action-adventure,Ember Lab,Ember Lab,USA,Multi,12,No,1,1,5,5,50%,TR,M,3,1,33%,8.2,8,8,9,8.3
